solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
monohydric_alcohol,CCCO,beta,1.584650263571093,N_mol_cm3,0.7104900515303954,fn,-0.6527501725967793,n,-0.7993518299919208,alpha,1.3885713840023102,SP,-0.7637155836859378,SdP,0.6834247949626586,ET30,1.2416797948683058,delta,0.7599622508623665,SA,1.0816569159003775,SB,1.2168424096156627,pi_star,-0.24180138835587317
nitrile,C1=CC=C(C=C1)CC#N,SA,,N_mol_cm3,-0.23262218656748346,n,,fn,,SB,,ET30,0.13280298303841204,delta,,alpha,-0.5624739952482177,SdP,,beta,-0.09846815221612285,pi_star,1.5366088227776467,SP,
monohydric_alcohol,CCCCCCCCO,SP,-0.12355073196888214,SdP,-0.18277852653796986,alpha,1.2259842690647664,fn,-0.004924136424152827,SA,0.7719898069001595,SB,1.691514452586453,beta,1.2755060647530332,n,-0.07050246149463746,ET30,0.8812948310235902,pi_star,-0.6864039411392531,delta,0.035589985787394474,N_mol_cm3,-0.7123792815998828
ketone,CC(C)C(=O)C,pi_star,,alpha,,fn,-1.3364915329923983,SdP,,SA,,beta,,SB,,n,-1.5443978511224716,ET30,-0.11669429962331464,N_mol_cm3,-0.09115535085280171,delta,,SP,
monohydric_alcohol,CCCCCCCCCO,pi_star,,n,-0.0057158509615457586,fn,0.05178427024373156,ET30,0.8397119505799685,SA,0.6399258927677137,SP,-0.07699328820764162,SdP,-0.2564352715635336,beta,,delta,,SB,1.6342844899587692,alpha,,N_mol_cm3,-0.83949440934351
ether,COC1=CC=CC=C1,SA,-0.2071047289093528,ET30,-0.6434107852425138,SB,-0.4091618226885347,pi_star,0.5362530790150416,n,1.338606317600105,alpha,-0.5624739952482177,SdP,0.0794394857530368,delta,-0.10928446722759977,beta,-0.4076123510341828,fn,1.1897329640459187,N_mol_cm3,-0.1424114507494256,SP,1.1218608886443002
aromatic,C1=CC=CC=C1,beta,-1.1632981703672185,n,1.0956565281010096,ET30,-1.0315176693829773,alpha,-0.5624739952482177,SB,-0.9982937909146931,pi_star,0.017550100767764972,SdP,-0.7248921699261183,fn,0.9893632604860654,SP,0.807598143255928,delta,-0.39903337325758825,SA,-0.5896346870860926,N_mol_cm3,0.2922402763739447
polyhydric_alcohol,CC(CCO)O,delta,,pi_star,,n,0.10766071747136291,SP,0.1790726524791812,beta,,ET30,1.5327599579736522,SB,0.6378098465590955,N_mol_cm3,0.2799388123987548,SA,1.3640004564593995,SdP,1.0517085200904768,fn,0.15034888183314712,alpha,
alkane,CCCCCCCCC,n,-0.4592221246931876,N_mol_cm3,-0.8681978252856193,ET30,-1.488929354262808,SdP,-1.5203850162022057,delta,-1.06131658704042,alpha,,SB,-1.2373130465950202,SP,-0.7404368618053176,fn,-0.34787497674896883,SA,-0.5896346870860926,pi_star,,beta,
carboxylic_acid,CCCCCCC(=O)O,SA,1.4368633056359215,beta,0.038929269480792845,N_mol_cm3,-0.5688622018893361,pi_star,-0.3159018138197699,SB,-0.3115342393824855,n,-0.2648622930939125,ET30,1.8377010812268733,delta,0.36673159267881056,fn,-0.17558943649130568,SP,-0.2283049804316733,alpha,2.2247336893953937,SdP,-0.8191728035588398
ketone,CC(=O)C1=CC=CC=C1,SP,1.4477629949729838,beta,0.17632669117770836,SA,-0.3892618518506575,alpha,-0.469567072426764,pi_star,1.1661066954581634,delta,0.014893635356681431,N_mol_cm3,-0.2613256025095931,SB,-0.18697490895752636,n,1.5977527597324719,SdP,0.8602009830240115,ET30,-0.15827718006693525,fn,1.4011743089075972
alkane,C1CCCC1,n,,SdP,-1.5203850162022057,beta,,ET30,,delta,,SP,-0.7986336665068683,pi_star,,N_mol_cm3,0.144622708671668,SB,-1.2036483626963825,SA,-0.5896346870860926,fn,,alpha,
ether,CCCCCCOCCCCCC,delta,,pi_star,,N_mol_cm3,-1.149081252719118,n,,beta,,SB,0.6647415936780056,alpha,,SdP,-0.9075608975895163,ET30,,SA,-0.5896346870860926,SP,-0.49601028205880493,fn,
